"Country or Area","Year(s)","Variant","Value"
"British Virgin Islands","1970","Medium variant","9.81"
"British Virgin Islands","1965","Medium variant","8.808"
"British Virgin Islands","1960","Medium variant","8.015"
"British Virgin Islands","1955","Medium variant","7.661"
"British Virgin Islands","1950","Medium variant","7.441"
"Brunei Darussalam","2100","Constant-fertility scenario","924.427"
"Brunei Darussalam","2100","High variant","1044.478"
"Brunei Darussalam","2100","Low variant","407.706"
"Brunei Darussalam","2100","Medium variant","667.324"
"Brunei Darussalam","2095","Constant-fertility scenario","899.241"
"Brunei Darussalam","2095","High variant","1002.246"
"Brunei Darussalam","2095","Low variant","420.85"
"Brunei Darussalam","2095","Medium variant","662.139"
"Brunei Darussalam","2090","Constant-fertility scenario","874.327"
"Brunei Darussalam","2090","High variant","962.38"
"Brunei Darussalam","2090","Low variant","434.865"
"Brunei Darussalam","2090","Medium variant","657.505"
"Brunei Darussalam","2085","Constant-fertility scenario","849.666"
"Brunei Darussalam","2085","High variant","924.615"
"Brunei Darussalam","2085","Low variant","449.326"
"Brunei Darussalam","2085","Medium variant","653.218"
"Brunei Darussalam","2080","Constant-fertility scenario","825.126"
"Brunei Darussalam","2080","High variant","888.518"
"Brunei Darussalam","2080","Low variant","463.658"
"Brunei Darussalam","2080","Medium variant","648.898"
"Brunei Darussalam","2075","Constant-fertility scenario","800.73"
"Brunei Darussalam","2075","High variant","854.025"
"Brunei Darussalam","2075","Low variant","477.418"
"Brunei Darussalam","2075","Medium variant","644.302"
"Brunei Darussalam","2070","Constant-fertility scenario","776.241"
"Brunei Darussalam","2070","High variant","821.011"
"Brunei Darussalam","2070","Low variant","489.93"
"Brunei Darussalam","2070","Medium variant","638.969"
"Brunei Darussalam","2065","Constant-fertility scenario","751.259"
"Brunei Darussalam","2065","High variant","789.109"
"Brunei Darussalam","2065","Low variant","500.514"
"Brunei Darussalam","2065","Medium variant","632.357"
"Brunei Darussalam","2060","Constant-fertility scenario","725.538"
"Brunei Darussalam","2060","High variant","757.796"
"Brunei Darussalam","2060","Low variant","508.879"
"Brunei Darussalam","2060","Medium variant","624.172"
"Brunei Darussalam","2055","Constant-fertility scenario","698.738"
"Brunei Darussalam","2055","High variant","726.197"
"Brunei Darussalam","2055","Low variant","514.741"
"Brunei Darussalam","2055","Medium variant","614.051"
"Brunei Darussalam","2050","Constant-fertility scenario","670.632"
"Brunei Darussalam","2050","High variant","693.654"
"Brunei Darussalam","2050","Low variant","517.707"
"Brunei Darussalam","2050","Medium variant","601.606"
"Brunei Darussalam","2045","Constant-fertility scenario","641.021"
"Brunei Darussalam","2045","High variant","660.014"
"Brunei Darussalam","2045","Low variant","517.015"
"Brunei Darussalam","2045","Medium variant","586.335"
"Brunei Darussalam","2040","Constant-fertility scenario","609.865"
"Brunei Darussalam","2040","High variant","625.661"
"Brunei Darussalam","2040","Low variant","511.996"
"Brunei Darussalam","2040","Medium variant","567.946"
"Brunei Darussalam","2035","Constant-fertility scenario","577.31"
"Brunei Darussalam","2035","High variant","590.845"
"Brunei Darussalam","2035","Low variant","502.491"
"Brunei Darussalam","2035","Medium variant","546.439"
"Brunei Darussalam","2030","Constant-fertility scenario","543.449"
"Brunei Darussalam","2030","High variant","555.12"
"Brunei Darussalam","2030","Low variant","489.014"
"Brunei Darussalam","2030","Medium variant","522.04"
"Brunei Darussalam","2025","Constant-fertility scenario","508.37"
"Brunei Darussalam","2025","High variant","517.656"
"Brunei Darussalam","2025","Low variant","472.304"
"Brunei Darussalam","2025","Medium variant","494.98"
"Brunei Darussalam","2020","Constant-fertility scenario","472.352"
"Brunei Darussalam","2020","High variant","478.01"
"Brunei Darussalam","2020","Low variant","452.771"
"Brunei Darussalam","2020","Medium variant","465.39"
"Brunei Darussalam","2015","Constant-fertility scenario","435.667"
"Brunei Darussalam","2015","High variant","438.039"
"Brunei Darussalam","2015","Low variant","428.523"
"Brunei Darussalam","2015","Medium variant","433.281"
"Brunei Darussalam","2010","Constant-fertility scenario","398.92"
"Brunei Darussalam","2010","High variant","398.92"
"Brunei Darussalam","2010","Low variant","398.92"
"Brunei Darussalam","2010","Medium variant","398.92"
"Brunei Darussalam","2005","Medium variant","363.123"
"Brunei Darussalam","2000","Medium variant","327.036"
"Brunei Darussalam","1995","Medium variant","289.614"
"Brunei Darussalam","1990","Medium variant","252.125"
"Brunei Darussalam","1985","Medium variant","219.05"
"Brunei Darussalam","1980","Medium variant","189.3"
"Brunei Darussalam","1975","Medium variant","156.595"
"Brunei Darussalam","1970","Medium variant","125.088"
"Brunei Darussalam","1965","Medium variant","99.536"
"Brunei Darussalam","1960","Medium variant","79.846"
"Brunei Darussalam","1955","Medium variant","63.194"
"Brunei Darussalam","1950","Medium variant","48.001"
"Bulgaria","2100","Constant-fertility scenario","2422.282"
"Bulgaria","2100","High variant","7111.13"
"Bulgaria","2100","Low variant","2129.78"
"Bulgaria","2100","Medium variant","4130.718"
"Bulgaria","2095","Constant-fertility scenario","2583.785"
"Bulgaria","2095","High variant","6868.668"
"Bulgaria","2095","Low variant","2273.902"
"Bulgaria","2095","Medium variant","4157.562"
"Bulgaria","2090","Constant-fertility scenario","2757.529"
"Bulgaria","2090","High variant","6651.023"
"Bulgaria","2090","Low variant","2438.706"
"Bulgaria","2090","Medium variant","4197.668"
"Bulgaria","2085","Constant-fertility scenario","2947.012"
"Bulgaria","2085","High variant","6459.07"
"Bulgaria","2085","Low variant","2626.567"
"Bulgaria","2085","Medium variant","4254.952"
"Bulgaria","2080","Constant-fertility scenario","3160.464"
"Bulgaria","2080","High variant","6295.716"
"Bulgaria","2080","Low variant","2842.893"
"Bulgaria","2080","Medium variant","4335.742"
"Bulgaria","2075","Constant-fertility scenario","3404.819"
"Bulgaria","2075","High variant","6169.729"
"Bulgaria","2075","Low variant","3091.93"
"Bulgaria","2075","Medium variant","4446.555"
"Bulgaria","2070","Constant-fertility scenario","3680.529"
"Bulgaria","2070","High variant","6094.084"
"Bulgaria","2070","Low variant","3373.547"
"Bulgaria","2070","Medium variant","4591.869"
"Bulgaria","2065","Constant-fertility scenario","3982.496"
"Bulgaria","2065","High variant","6077.674"
"Bulgaria","2065","Low variant","3684.78"
"Bulgaria","2065","Medium variant","4773.134"
"Bulgaria","2060","Constant-fertility scenario","4303.908"
"Bulgaria","2060","High variant","6114.837"
"Bulgaria","2060","Low variant","4021.297"
"Bulgaria","2060","Medium variant","4986.412"
"Bulgaria","2055","Constant-fertility scenario","4637.386"
"Bulgaria","2055","High variant","6183.303"
"Bulgaria","2055","Low variant","4375.513"
"Bulgaria","2055","Medium variant","5219.909"
"Bulgaria","2050","Constant-fertility scenario","4975.48"
"Bulgaria","2050","High variant","6259.851"
"Bulgaria","2050","Low variant","4736.845"
"Bulgaria","2050","Medium variant","5459.131"
"Bulgaria","2045","Constant-fertility scenario","5312.524"
"Bulgaria","2045","High variant","6341.098"
"Bulgaria","2045","Low variant","5095.864"
"Bulgaria","2045","Medium variant","5697.148"
"Bulgaria","2040","Constant-fertility scenario","5641.302"
"Bulgaria","2040","High variant","6442.154"
"Bulgaria","2040","Low variant","5444.868"
"Bulgaria","2040","Medium variant","5935.025"
"Bulgaria","2035","Constant-fertility scenario","5964.492"
"Bulgaria","2035","High variant","6585.06"
"Bulgaria","2035","Low variant","5790.424"
"Bulgaria","2035","Medium variant","6185.695"
"Bulgaria","2030","Constant-fertility scenario","6286.788"
"Bulgaria","2030","High variant","6768.616"
"Bulgaria","2030","Low variant","6141.88"
"Bulgaria","2030","Medium variant","6455.05"
"Bulgaria","2025","Constant-fertility scenario","6611.344"
"Bulgaria","2025","High variant","6965.481"
"Bulgaria","2025","Low variant","6500.782"
"Bulgaria","2025","Medium variant","6733.132"
"Bulgaria","2020","Constant-fertility scenario","6929.528"
"Bulgaria","2020","High variant","7142.658"
"Bulgaria","2020","Low variant","6858.586"
"Bulgaria","2020","Medium variant","7000.622"
"Bulgaria","2015","Constant-fertility scenario","7226.142"
"Bulgaria","2015","High variant","7310.775"
"Bulgaria","2015","Low variant","7193.099"
"Bulgaria","2015","Medium variant","7251.937"
"Bulgaria","2010","Constant-fertility scenario","7494.332"
"Bulgaria","2010","High variant","7494.332"
"Bulgaria","2010","Low variant","7494.332"
"Bulgaria","2010","Medium variant","7494.332"
"Bulgaria","2005","Medium variant","7739.115"
"Bulgaria","2000","Medium variant","8006.158"
"Bulgaria","1995","Medium variant","8356.624"
"Bulgaria","1990","Medium variant","8818.915"
"Bulgaria","1985","Medium variant","8960.417"
"Bulgaria","1980","Medium variant","8861.536"
"Bulgaria","1975","Medium variant","8720.706"
"Bulgaria","1970","Medium variant","8489.572"
"Bulgaria","1965","Medium variant","8204.095"
"Bulgaria","1960","Medium variant","7867.008"
"Bulgaria","1955","Medium variant","7499.009"
"Bulgaria","1950","Medium variant","7250.999"
"Burkina Faso","2100","Constant-fertility scenario","374800.222"
"Burkina Faso","2100","High variant","134103.467"
"Burkina Faso","2100","Low variant","67349.111"
"Burkina Faso","2100","Medium variant","96366.907"
"Burkina Faso","2095","Constant-fertility scenario","311710.551"
"Burkina Faso","2095","High variant","124803.6"
"Burkina Faso","2095","Low variant","66311.891"
"Burkina Faso","2095","Medium variant","92099.236"
"Burkina Faso","2090","Constant-fertility scenario","259313.701"
"Burkina Faso","2090","High variant","115607.053"
"Burkina Faso","2090","Low variant","64862.479"
"Burkina Faso","2090","Medium variant","87534.282"
"Burkina Faso","2085","Constant-fertility scenario","215802.864"
"Burkina Faso","2085","High variant","106555.068"
"Burkina Faso","2085","Low variant","63012.379"
"Burkina Faso","2085","Medium variant","82713.514"
"Burkina Faso","2080","Constant-fertility scenario","179679.801"
"Burkina Faso","2080","High variant","97691.884"
"Burkina Faso","2080","Low variant","60785.433"
"Burkina Faso","2080","Medium variant","77687.143"
"Burkina Faso","2075","Constant-fertility scenario","149703.204"
"Burkina Faso","2075","High variant","89073.654"
"Burkina Faso","2075","Low variant","58210.596"
"Burkina Faso","2075","Medium variant","72510.67"
"Burkina Faso","2070","Constant-fertility scenario","124845.862"
"Burkina Faso","2070","High variant","80779.754"
"Burkina Faso","2070","Low variant","55327.507"
"Burkina Faso","2070","Medium variant","67252.781"
"Burkina Faso","2065","Constant-fertility scenario","104243.602"
"Burkina Faso","2065","High variant","72888.002"
"Burkina Faso","2065","Low variant","52193.861"
"Burkina Faso","2065","Medium variant","61990.756"
"Burkina Faso","2060","Constant-fertility scenario","87173.437"
"Burkina Faso","2060","High variant","65435.206"
"Burkina Faso","2060","Low variant","48870.146"
"Burkina Faso","2060","Medium variant","56786.43"
"Burkina Faso","2055","Constant-fertility scenario","73025.369"
"Burkina Faso","2055","High variant","58421.008"
"Burkina Faso","2055","Low variant","45418.283"
"Burkina Faso","2055","Medium variant","51686.475"
"Burkina Faso","2050","Constant-fertility scenario","61292.744"
"Burkina Faso","2050","High variant","51832.227"
"Burkina Faso","2050","Low variant","41884.643"
"Burkina Faso","2050","Medium variant","46721.176"
"Burkina Faso","2045","Constant-fertility scenario","51555.526"
"Burkina Faso","2045","High variant","45693.003"
"Burkina Faso","2045","Low variant","38309.304"
"Burkina Faso","2045","Medium variant","41930.517"
"Burkina Faso","2040","Constant-fertility scenario","43461.69"
"Burkina Faso","2040","High variant","40051.669"
"Burkina Faso","2040","Low variant","34728.913"
"Burkina Faso","2040","Medium variant","37360.942"
"Burkina Faso","2035","Constant-fertility scenario","36732.321"
"Burkina Faso","2035","High variant","34954.479"
"Burkina Faso","2035","Low variant","31213.132"
"Burkina Faso","2035","Medium variant","33075.12"
"Burkina Faso","2030","Constant-fertility scenario","31132.235"
"Burkina Faso","2030","High variant","30386.613"
"Burkina Faso","2030","Low variant","27840.063"
"Burkina Faso","2030","Medium variant","29111.959"
"Burkina Faso","2025","Constant-fertility scenario","26453.833"
"Burkina Faso","2025","High variant","26280.66"
"Burkina Faso","2025","Low variant","24670.07"
"Burkina Faso","2025","Medium variant","25475.366"
"Burkina Faso","2020","Constant-fertility scenario","22526.49"
"Burkina Faso","2020","High variant","22564.854"
"Burkina Faso","2020","Low variant","21735.086"
"Burkina Faso","2020","Medium variant","22149.971"
"Burkina Faso","2015","Constant-fertility scenario","19227.059"
"Burkina Faso","2015","High variant","19265.005"
"Burkina Faso","2015","Low variant","18971.817"
"Burkina Faso","2015","Medium variant","19118.412"
"Burkina Faso","2010","Constant-fertility scenario","16468.714"
"Burkina Faso","2010","High variant","16468.714"
"Burkina Faso","2010","Low variant","16468.714"
"Burkina Faso","2010","Medium variant","16468.714"
"Burkina Faso","2005","Medium variant","14198.463"
"Burkina Faso","2000","Medium variant","12294.012"
"Burkina Faso","1995","Medium variant","10692.138"
"Burkina Faso","1990","Medium variant","9323.996"
"Burkina Faso","1985","Medium variant","8169.792"
"Burkina Faso","1980","Medium variant","7212.088"
"Burkina Faso","1975","Medium variant","6435.274"
"Burkina Faso","1970","Medium variant","5807.492"
"Burkina Faso","1965","Medium variant","5284.154"
"Burkina Faso","1960","Medium variant","4881.947"
"Burkina Faso","1955","Medium variant","4534.65"
"Burkina Faso","1950","Medium variant","4284.459"
"Burundi","2100","Constant-fertility scenario","72947.596"
"Burundi","2100","High variant","22697.819"
"Burundi","2100","Low variant","8887.166"
"Burundi","2100","Medium variant","14586.53"
"Burundi","2095","Constant-fertility scenario","64022.947"
"Burundi","2095","High variant","22051.362"
"Burundi","2095","Low variant","9384.901"
"Burundi","2095","Medium variant","14712.416"
"Burundi","2090","Constant-fertility scenario","56207.131"
"Burundi","2090","High variant","21404.082"
"Burundi","2090","Low variant","9868.658"
"Burundi","2090","Medium variant","14807.443"
"Burundi","2085","Constant-fertility scenario","49352.153"
"Burundi","2085","High variant","20745.118"
"Burundi","2085","Low variant","10324.391"
"Burundi","2085","Medium variant","14861.688"
"Burundi","2080","Constant-fertility scenario","43355.121"
"Burundi","2080","High variant","20064.998"
"Burundi","2080","Low variant","10744.05"
"Burundi","2080","Medium variant","14869.521"
"Burundi","2075","Constant-fertility scenario","38145.603"
"Burundi","2075","High variant","19364.927"
"Burundi","2075","Low variant","11121.624"
"Burundi","2075","Medium variant","14829.554"
"Burundi","2070","Constant-fertility scenario","33648.782"
"Burundi","2070","High variant","18650.381"
"Burundi","2070","Low variant","11442.637"
"Burundi","2070","Medium variant","14735.821"
"Burundi","2065","Constant-fertility scenario","29765.529"
"Burundi","2065","High variant","17933.326"
"Burundi","2065","Low variant","11696.846"
"Burundi","2065","Medium variant","14587.873"
"Burundi","2060","Constant-fertility scenario","26377.474"
"Burundi","2060","High variant","17207.415"
"Burundi","2060","Low variant","11873.194"
"Burundi","2060","Medium variant","14378.728"
"Burundi","2055","Constant-fertility scenario","23377.96"
"Burundi","2055","High variant","16441.141"
"Burundi","2055","Low variant","11955.731"
"Burundi","2055","Medium variant","14089.033"
"Burundi","2050","Constant-fertility scenario","20711.251"
"Burundi","2050","High variant","15607.059"
"Burundi","2050","Low variant","11932.958"
"Burundi","2050","Medium variant","13703.001"
"Burundi","2045","Constant-fertility scenario","18369.239"
"Burundi","2045","High variant","14704.972"
"Burundi","2045","Low variant","11794.016"
"Burundi","2045","Medium variant","13215.281"
"Burundi","2040","Constant-fertility scenario","16355.347"
"Burundi","2040","High variant","13783.23"
"Burundi","2040","Low variant","11545.529"
"Burundi","2040","Medium variant","12651.32"
"Burundi","2035","Constant-fertility scenario","14643.399"
"Burundi","2035","High variant","12896.958"
"Burundi","2035","Low variant","11214.601"
"Burundi","2035","Medium variant","12052.665"
"Burundi","2030","Constant-fertility scenario","13158.512"
"Burundi","2030","High variant","12055.401"
"Burundi","2030","Low variant","10827.436"
"Burundi","2030","Medium variant","11441.097"
"Burundi","2025","Constant-fertility scenario","11809.562"
"Burundi","2025","High variant","11204.934"
"Burundi","2025","Low variant","10377.75"
"Burundi","2025","Medium variant","10791.341"
"Burundi","2020","Constant-fertility scenario","10545.093"
"Burundi","2020","High variant","10280.247"
"Burundi","2020","Low variant","9833.745"
"Burundi","2020","Medium variant","10056.996"
"Burundi","2015","Constant-fertility scenario","9381.013"
"Burundi","2015","High variant","9310.775"
"Burundi","2015","Low variant","9150.508"
"Burundi","2015","Medium variant","9230.642"
"Burundi","2010","Constant-fertility scenario","8382.849"
"Burundi","2010","High variant","8382.849"
"Burundi","2010","Low variant","8382.849"
"Burundi","2010","Medium variant","8382.849"
"Burundi","2005","Medium variant","7251.424"
"Burundi","2000","Medium variant","6374.347"
"Burundi","1995","Medium variant","6086.751"
"Burundi","1990","Medium variant","5601.72"
"Burundi","1985","Medium variant","4850.597"
"Burundi","1980","Medium variant","4129.997"
"Burundi","1975","Medium variant","3680.401"
"Burundi","1970","Medium variant","3513.499"
"Burundi","1965","Medium variant","3212.864"
"Burundi","1960","Medium variant","2940.498"
"Burundi","1955","Medium variant","2686.568"
"Burundi","1950","Medium variant","2456.3"
"Cambodia","2100","Constant-fertility scenario","44185.456"
"Cambodia","2100","High variant","27810.687"
"Cambodia","2100","Low variant","9181.034"
"Cambodia","2100","Medium variant","16660.936"
"Cambodia","2095","Constant-fertility scenario","41745.883"
"Cambodia","2095","High variant","27203.909"
"Cambodia","2095","Low variant","9947.662"
"Cambodia","2095","Medium variant","17022.885"
"Cambodia","2090","Constant-fertility scenario","39431.217"
"Cambodia","2090","High variant","26628.721"
"Cambodia","2090","Low variant","10760.457"
"Cambodia","2090","Medium variant","17392.423"
"Cambodia","2085","Constant-fertility scenario","37249.892"
"Cambodia","2085","High variant","26077.703"
"Cambodia","2085","Low variant","11606.997"
"Cambodia","2085","Medium variant","17765.108"
"Cambodia","2080","Constant-fertility scenario","35209.753"
"Cambodia","2080","High variant","25543.911"
"Cambodia","2080","Low variant","12472.34"
"Cambodia","2080","Medium variant","18134.946"
"Cambodia","2075","Constant-fertility scenario","33305.216"
"Cambodia","2075","High variant","25022.69"
"Cambodia","2075","Low variant","13327.478"
"Cambodia","2075","Medium variant","18484.821"
"Cambodia","2070","Constant-fertility scenario","31519.142"
"Cambodia","2070","High variant","24509.553"
"Cambodia","2070","Low variant","14132.859"
"Cambodia","2070","Medium variant","18788.21"
"Cambodia","2065","Constant-fertility scenario","29817.275"
"Cambodia","2065","High variant","23981.836"
"Cambodia","2065","Low variant","14843.959"
"Cambodia","2065","Medium variant","19008.855"
"Cambodia","2060","Constant-fertility scenario","28164.333"
"Cambodia","2060","High variant","23401.512"
"Cambodia","2060","Low variant","15432.624"
"Cambodia","2060","Medium variant","19117.534"
"Cambodia","2055","Constant-fertility scenario","26536.846"
"Cambodia","2055","High variant","22730.66"
"Cambodia","2055","Low variant","15892.547"
"Cambodia","2055","Medium variant","19100.287"
"Cambodia","2050","Constant-fertility scenario","24938.729"
"Cambodia","2050","High variant","21963.683"
"Cambodia","2050","Low variant","16234.496"
"Cambodia","2050","Medium variant","18964.892"
"Cambodia","2045","Constant-fertility scenario","23384.581"
"Cambodia","2045","High variant","21122.41"
"Cambodia","2045","Low variant","16450.21"
"Cambodia","2045","Medium variant","18715.385"
"Cambodia","2040","Constant-fertility scenario","21899.039"
"Cambodia","2040","High variant","20252.743"
"Cambodia","2040","Low variant","16525.95"
"Cambodia","2040","Medium variant","18361.038"
"Cambodia","2035","Constant-fertility scenario","20501.66"
"Cambodia","2035","High variant","19377.851"
"Cambodia","2035","Low variant","16462.996"
"Cambodia","2035","Medium variant","17913.132"
"Cambodia","2030","Constant-fertility scenario","19170.567"
"Cambodia","2030","High variant","18463.422"
"Cambodia","2030","Low variant","16263.764"
"Cambodia","2030","Medium variant","17362.741"
"Cambodia","2025","Constant-fertility scenario","17845.765"
"Cambodia","2025","High variant","17445.693"
"Cambodia","2025","Low variant","15927.603"
"Cambodia","2025","Medium variant","16686.645"
"Cambodia","2020","Constant-fertility scenario","16517.632"
"Cambodia","2020","High variant","16311.541"
"Cambodia","2020","Low variant","15474.49"
"Cambodia","2020","Medium variant","15893.014"
"Cambodia","2015","Constant-fertility scenario","15239.952"
"Cambodia","2015","High variant","15167.923"
"Cambodia","2015","Low variant","14861.639"
"Cambodia","2015","Medium variant","15014.779"
"Cambodia","2010","Constant-fertility scenario","14138.255"
"Cambodia","2010","High variant","14138.255"
"Cambodia","2010","Low variant","14138.255"
"Cambodia","2010","Medium variant","14138.255"
"Cambodia","2005","Medium variant","13357.574"
"Cambodia","2000","Medium variant","12446.949"
"Cambodia","1995","Medium variant","11169.233"
"Cambodia","1990","Medium variant","9531.928"
"Cambodia","1985","Medium variant","7919.802"
"Cambodia","1980","Medium variant","6505.693"
"Cambodia","1975","Medium variant","7097.8"
"Cambodia","1970","Medium variant","6937.996"
"Cambodia","1965","Medium variant","6141.404"
"Cambodia","1960","Medium variant","5433.306"
"Cambodia","1955","Medium variant","4839.899"
"Cambodia","1950","Medium variant","4345.8"
"Cameroon","2100","Constant-fertility scenario","227369.572"
"Cameroon","2100","High variant","81590.573"
"Cameroon","2100","Low variant","33939.179"
"Cameroon","2100","Medium variant","53692.562"
"Cameroon","2095","Constant-fertility scenario","195963.345"
"Cameroon","2095","High variant","77838.064"
"Cameroon","2095","Low variant","34853.403"
"Cameroon","2095","Medium variant","53000.82"
"Cameroon","2090","Constant-fertility scenario","168990.046"
"Cameroon","2090","High variant","74053.077"
"Cameroon","2090","Low variant","35608.795"
"Cameroon","2090","Medium variant","52123.049"
"Cameroon","2085","Constant-fertility scenario","145832.029"
"Cameroon","2085","High variant","70244.982"
"Cameroon","2085","Low variant","36179.732"
"Cameroon","2085","Medium variant","51055.953"
"Cameroon","2080","Constant-fertility scenario","125958.189"
"Cameroon","2080","High variant","66411.102"
"Cameroon","2080","Low variant","36538.107"
"Cameroon","2080","Medium variant","49791.197"
"Cameroon","2075","Constant-fertility scenario","108912.268"
"Cameroon","2075","High variant","62560.761"
"Cameroon","2075","Low variant","36665.278"
"Cameroon","2075","Medium variant","48330.577"
"Cameroon","2070","Constant-fertility scenario","94302.968"
"Cameroon","2070","High variant","58719.501"
"Cameroon","2070","Low variant","36552.702"
"Cameroon","2070","Medium variant","46686.795"
"Cameroon","2065","Constant-fertility scenario","81785.756"
"Cameroon","2065","High variant","54902.691"
"Cameroon","2065","Low variant","36183.215"
"Cameroon","2065","Medium variant","44861.994"
"Cameroon","2060","Constant-fertility scenario","71055.539"
"Cameroon","2060","High variant","51130.305"
"Cameroon","2060","Low variant","35555.957"
"Cameroon","2060","Medium variant","42870.959"
"Cameroon","2055","Constant-fertility scenario","61843.599"
"Cameroon","2055","High variant","47410.031"
"Cameroon","2055","Low variant","34685.371"
"Cameroon","2055","Medium variant","40734.308"
"Cameroon","2050","Constant-fertility scenario","53917.728"
"Cameroon","2050","High variant","43744.108"
"Cameroon","2050","Low variant","33588.239"
"Cameroon","2050","Medium variant","38472.407"
"Cameroon","2045","Constant-fertility scenario","47100.376"
"Cameroon","2045","High variant","40162.558"
"Cameroon","2045","Low variant","32288.504"
"Cameroon","2045","Medium variant","36119.586"
"Cameroon","2040","Constant-fertility scenario","41239.505"
"Cameroon","2040","High variant","36698.809"
"Cameroon","2040","Low variant","30783.42"
"Cameroon","2040","Medium variant","33693.886"
"Cameroon","2035","Constant-fertility scenario","36215.703"
"Cameroon","2035","High variant","33410.899"
"Cameroon","2035","Low variant","29101.727"
"Cameroon","2035","Medium variant","31241.229"
"Cameroon","2030","Constant-fertility scenario","31913.48"
"Cameroon","2030","High variant","30325.543"
"Cameroon","2030","Low variant","27301.812"
"Cameroon","2030","Medium variant","28811.094"
"Cameroon","2025","Constant-fertility scenario","28205.125"
"Cameroon","2025","High variant","27424.322"
"Cameroon","2025","Low variant","25455.901"
"Cameroon","2025","Medium variant","26440.11"
"Cameroon","2020","Constant-fertility scenario","24958.921"
"Cameroon","2020","High variant","24639.896"
"Cameroon","2020","Low variant","23594.872"
"Cameroon","2020","Medium variant","24117.381"
"Cameroon","2015","Constant-fertility scenario","22082.853"
"Cameroon","2015","High variant","22004.661"
"Cameroon","2015","Low variant","21627.05"
"Cameroon","2015","Medium variant","21815.853"
"Cameroon","2010","Constant-fertility scenario","19598.889"
"Cameroon","2010","High variant","19598.889"
"Cameroon","2010","Low variant","19598.889"
"Cameroon","2010","Medium variant","19598.889"
"Cameroon","2005","Medium variant","17553.589"
"Cameroon","2000","Medium variant","15678.269"
"Cameroon","1995","Medium variant","13940.337"
"Cameroon","1990","Medium variant","12180.819"
"Cameroon","1985","Medium variant","10518.855"
"Cameroon","1980","Medium variant","9109.727"
"Cameroon","1975","Medium variant","7837.926"
"Cameroon","1970","Medium variant","6841.763"
"Cameroon","1965","Medium variant","6048.706"
"Cameroon","1960","Medium variant","5409.083"
"Cameroon","1955","Medium variant","4900.528"
"Cameroon","1950","Medium variant","4466.497"
"Canada","2100","Constant-fertility scenario","39247.384"
"Canada","2100","High variant","71045.208"
"Canada","2100","Low variant","31668.514"
"Canada","2100","Medium variant","48289.649"
"Canada","2095","Constant-fertility scenario","40073.88"
"Canada","2095","High variant","68590.412"
"Canada","2095","Low variant","32840.78"
"Canada","2095","Medium variant","48149.252"
"Canada","2090","Constant-fertility scenario","40763.537"
"Canada","2090","High variant","66113.756"
"Canada","2090","Low variant","33930.329"
"Canada","2090","Medium variant","47905.51"
"Canada","2085","Constant-fertility scenario","41341.274"
"Canada","2085","High variant","63639.362"
"Canada","2085","Low variant","34948.679"
"Canada","2085","Medium variant","47588.408"
"Canada","2080","Constant-fertility scenario","41801.411"
"Canada","2080","High variant","61217.656"
"Canada","2080","Low variant","35872.695"
"Canada","2080","Medium variant","47206.375"
"Canada","2075","Constant-fertility scenario","42133.666"
"Canada","2075","High variant","58921.928"
"Canada","2075","Low variant","36673.743"
"Canada","2075","Medium variant","46767.063"
"Canada","2070","Constant-fertility scenario","42331.236"
"Canada","2070","High variant","56785.287"
"Canada","2070","Low variant","37334.099"
"Canada","2070","Medium variant","46271.385"
"Canada","2065","Constant-fertility scenario","42401.619"
"Canada","2065","High variant","54768.941"
"Canada","2065","Low variant","37863.561"
"Canada","2065","Medium variant","45716.096"
"Canada","2060","Constant-fertility scenario","42363.184"
"Canada","2060","High variant","52795.583"
"Canada","2060","Low variant","38295.003"
"Canada","2060","Medium variant","45101.416"
"Canada","2055","Constant-fertility scenario","42214.088"
"Canada","2055","High variant","50803.976"
"Canada","2055","Low variant","38638.23"
"Canada","2055","Medium variant","44418.381"
"Canada","2050","Constant-fertility scenario","41918.085"
"Canada","2050","High variant","48791.265"
"Canada","2050","Low variant","38845.822"
"Canada","2050","Medium variant","43641.505"
"Canada","2045","Constant-fertility scenario","41456.381"
"Canada","2045","High variant","46840.439"
"Canada","2045","Low variant","38864.282"
"Canada","2045","Medium variant","42771.651"
"Canada","2040","Constant-fertility scenario","40894.744"
"Canada","2040","High variant","45086.591"
"Canada","2040","Low variant","38727.329"
"Canada","2040","Medium variant","41881.923"
"Canada","2035","Constant-fertility scenario","40200.388"
"Canada","2035","High variant","43458.452"
"Canada","2035","Low variant","38410.528"
"Canada","2035","Medium variant","40930.282"
"Canada","2030","Constant-fertility scenario","39335.943"
"Canada","2030","High variant","41788.767"
"Canada","2030","Low variant","37910.711"
"Canada","2030","Medium variant","39849.523"
"Canada","2025","Constant-fertility scenario","38269.627"
"Canada","2025","High variant","39941.242"
"Canada","2025","Low variant","37228.264"
"Canada","2025","Medium variant","38584.753"
"Canada","2020","Constant-fertility scenario","37008.996"
"Canada","2020","High variant","37925.337"
"Canada","2020","Low variant","36400.355"
"Canada","2020","Medium variant","37162.845"
"Canada","2015","Constant-fertility scenario","35575.029"
"Canada","2015","High variant","35912.982"
"Canada","2015","Low variant","35335.336"
"Canada","2015","Medium variant","35624.158"
"Canada","2010","Constant-fertility scenario","34016.593"
"Canada","2010","High variant","34016.593"
"Canada","2010","Low variant","34016.593"
"Canada","2010","Medium variant","34016.593"
